time,Actual Movement,close,Predictions,Predicted
2021-04-13,1,1.19492,0.50379527,-1
2021-04-14,-1,1.19808,0.50375956,-1
2021-04-15,1,1.1966,0.50363857,-1
2021-04-16,1,1.19812,0.50363815,-1
2021-04-19,1,1.20355,0.5035514,-1
2021-04-20,-1,1.20358,0.5033256,-1
2021-04-21,-1,1.20348,0.5030848,-1
2021-04-22,1,1.20158,0.5029389,-1
2021-04-23,-1,1.20976,0.5026805,-1
2021-04-26,-1,1.20921,0.50240165,-1
2021-04-27,1,1.20909,0.5023439,-1
2021-04-28,-1,1.21238,0.50224715,-1
2021-04-29,-1,1.21207,0.5021972,-1
2021-04-30,1,1.20209,0.502138,-1
2021-05-03,-1,1.20624,0.50208867,-1
2021-05-04,-1,1.20152,0.5019633,-1
2021-05-05,1,1.20042,0.50202495,-1
2021-05-06,1,1.20633,0.5020175,-1
2021-05-07,-1,1.2162,0.5019636,-1
2021-05-10,1,1.21281,0.50198996,-1
2021-05-11,-1,1.21481,0.5021053,-1
2021-05-12,1,1.20731,0.5021035,-1
2021-05-13,1,1.20795,0.5020171,-1
2021-05-14,1,1.21445,0.5019844,-1
2021-05-17,1,1.21519,0.5019922,-1
2021-05-18,-1,1.22227,0.5020923,-1
2021-05-19,1,1.21759,0.50221217,-1
2021-05-20,-1,1.22259,0.50252974,-1
2021-05-21,1,1.21806,0.5024002,-1
2021-05-24,1,1.22158,0.50251395,-1
2021-05-25,-1,1.22493,0.5024608,-1
2021-05-26,1,1.21924,0.50226104,-1
2021-05-27,-1,1.2193,0.5021742,-1
2021-05-28,1,1.21895,0.5021635,-1
2021-05-31,-1,1.22256,0.5021564,-1
2021-06-01,-1,1.2212,0.50225323,-1
2021-06-02,-1,1.22098,0.5022789,-1
2021-06-03,1,1.21279,0.5021777,-1
2021-06-04,1,1.21662,0.5021668,-1
2021-06-07,-1,1.21904,0.50201946,-1
2021-06-08,1,1.21729,0.5021067,-1
2021-06-09,-1,1.21792,0.50217956,-1
2021-06-10,-1,1.21762,0.5022743,-1
2021-06-11,1,1.21063,0.5022445,-1
2021-06-14,1,1.21186,0.50231445,-1
2021-06-15,-1,1.21263,0.5024558,-1
2021-06-16,-1,1.19973,0.5025649,-1
2021-06-17,-1,1.19067,0.50280434,-1
2021-06-18,1,1.18597,0.50286293,-1
2021-06-21,1,1.19184,0.50296366,-1
2021-06-22,-1,1.1941,0.50302494,-1
2021-06-23,1,1.19277,0.5033035,-1
2021-06-24,1,1.19313,0.5033403,-1
2021-06-25,-1,1.19373,0.50334936,-1
2021-06-28,-1,1.1923,0.5033557,-1
2021-06-29,-1,1.18971,0.5033881,-1
2021-06-30,-1,1.186,0.5035264,-1
2021-07-01,1,1.18492,0.5038191,-1
2021-07-02,-1,1.18646,0.5039293,-1
2021-07-05,-1,1.18619,0.5040637,-1
2021-07-06,-1,1.18221,0.50426835,-1
2021-07-07,1,1.17914,0.50434244,-1
2021-07-08,1,1.18453,0.50430363,-1
2021-07-09,-1,1.18774,0.5040965,-1
2021-07-12,-1,1.18607,0.5039758,-1
2021-07-13,1,1.17768,0.5039561,-1
2021-07-14,-1,1.18375,0.503969,-1
2021-07-15,-1,1.18115,0.50385565,-1
2021-07-16,-1,1.18057,0.5039881,-1
2021-07-19,-1,1.18,0.5041287,-1
2021-07-20,1,1.17811,0.5042438,-1
2021-07-21,-1,1.17937,0.50429726,-1
2021-07-22,-1,1.17701,0.5042164,-1
2021-07-23,1,1.17694,0.50423867,-1
2021-07-26,1,1.18026,0.50424683,-1
2021-07-27,1,1.18155,0.5041447,-1
2021-07-28,1,1.18438,0.50385517,-1
2021-07-29,-1,1.18852,0.50366163,-1
2021-07-30,-1,1.18731,0.50354654,-1
2021-08-02,-1,1.18719,0.50358796,-1
2021-08-03,-1,1.1864,0.503423,-1
2021-08-04,-1,1.18379,0.50345755,-1
2021-08-05,-1,1.18309,0.50350636,-1
2021-08-06,-1,1.17612,0.5035629,-1
2021-08-09,-1,1.17355,0.5037177,-1
2021-08-10,1,1.17204,0.50375575,-1
2021-08-11,-1,1.17405,0.5038717,-1
2021-08-12,1,1.17341,0.503855,-1
2021-08-13,-1,1.17961,0.5037449,-1
2021-08-16,-1,1.17762,0.5035273,-1
2021-08-17,1,1.17097,0.5033863,-1
2021-08-18,-1,1.17106,0.5032791,-1
2021-08-19,1,1.16779,0.5032412,-1
2021-08-20,1,1.16996,0.5033425,-1
2021-08-23,1,1.17444,0.5035136,-1
2021-08-24,1,1.17572,0.5037371,-1
2021-08-25,-1,1.17724,0.5039083,-1
2021-08-26,1,1.17517,0.5041551,-1
2021-08-27,1,1.17959,0.504302,-1
2021-08-30,1,1.1797,0.50420946,-1
2021-08-31,1,1.1809,0.50400114,-1
2021-09-01,1,1.18388,0.5037873,-1
2021-09-02,1,1.18757,0.5034081,-1
2021-09-03,-1,1.18775,0.5033977,-1
2021-09-06,-1,1.18688,0.5035297,-1
2021-09-07,-1,1.18425,0.5035764,-1
2021-09-08,1,1.18176,0.50361836,-1
2021-09-09,-1,1.18231,0.50348353,-1
2021-09-10,-1,1.18109,0.50325036,-1
2021-09-13,-1,1.18107,0.5031562,-1
2021-09-14,1,1.18046,0.5030637,-1
2021-09-15,-1,1.18156,0.5030198,-1
2021-09-16,-1,1.17687,0.5028156,-1
2021-09-17,1,1.17258,0.502824,-1
2021-09-20,-1,1.17278,0.50280786,-1
2021-09-21,-1,1.17254,0.5028194,-1
2021-09-22,1,1.169,0.5029191,-1
2021-09-23,-1,1.17396,0.5031006,-1
2021-09-24,-1,1.17211,0.50322825,-1
2021-09-27,-1,1.16961,0.5034789,-1
2021-09-28,-1,1.16836,0.5036696,-1
2021-09-29,-1,1.15961,0.5037396,-1
2021-09-30,1,1.15757,0.5039272,-1
2021-10-01,1,1.15931,0.504048,-1
2021-10-04,-1,1.16194,0.5041537,-1
2021-10-05,-1,1.15974,0.5042083,-1
2021-10-06,-1,1.15573,0.504552,-1
2021-10-07,1,1.15532,0.50477284,-1
2021-10-08,-1,1.1574,0.50483584,-1
2021-10-11,-1,1.1554,0.5048069,-1
2021-10-12,1,1.15305,0.504811,-1
2021-10-13,1,1.15952,0.50461495,-1
2021-10-14,1,1.15972,0.5045723,-1
2021-10-15,1,1.15984,0.5046656,-1
2021-10-18,1,1.16113,0.50475097,-1
2021-10-19,1,1.16324,0.5047921,-1
2021-10-20,-1,1.16503,0.504672,-1
2021-10-21,1,1.16229,0.5044398,-1
2021-10-22,-1,1.1644,0.5043034,-1
2021-10-25,-1,1.16102,0.50420773,-1
2021-10-26,1,1.15974,0.5042421,-1
2021-10-27,1,1.1603,0.50422525,-1
2021-10-28,-1,1.16845,0.5041164,-1
2021-10-29,1,1.15623,0.5039828,-1
2021-11-01,-1,1.16071,0.50409013,-1
2021-11-02,1,1.1579,0.503728,-1
2021-11-03,-1,1.16112,0.50372654,-1
2021-11-04,1,1.1554,0.5036138,-1
2021-11-05,1,1.15669,0.5036129,-1
2021-11-08,1,1.1587,0.5035114,-1
2021-11-09,-1,1.15944,0.5034785,-1
2021-11-10,-1,1.14768,0.5035829,-1
2021-11-11,-1,1.14488,0.503682,-1
2021-11-12,-1,1.14432,0.50382334,-1
2021-11-15,-1,1.13687,0.50394064,-1
2021-11-16,1,1.13184,0.50407684,-1
2021-11-17,1,1.13226,0.5040897,-1
2021-11-18,-1,1.1373,0.50436497,-1
2021-11-19,-1,1.12832,0.50435495,-1
2021-11-22,1,1.12364,0.5045477,-1
2021-11-23,-1,1.12492,0.5045523,-1
2021-11-24,1,1.1199,0.5046548,-1
2021-11-25,1,1.12067,0.50474817,-1
2021-11-26,-1,1.13227,0.50481725,-1
2021-11-29,1,1.12925,0.5047906,-1
2021-11-30,-1,1.13397,0.5050596,1
2021-12-01,-1,1.13192,0.5051157,1
2021-12-02,1,1.13,0.50518984,1
2021-12-03,-1,1.1309,0.50523406,1
2021-12-06,-1,1.12842,0.5051719,1
2021-12-07,1,1.12688,0.5050808,1
2021-12-08,-1,1.13442,0.504908,-1
2021-12-09,1,1.12925,0.50481856,-1
2021-12-10,-1,1.13169,0.5049287,-1
2021-12-13,-1,1.12865,0.5048442,-1
2021-12-14,1,1.12564,0.5048452,-1
2021-12-15,1,1.12936,0.5047367,-1
2021-12-16,-1,1.13317,0.50435454,-1
2021-12-17,1,1.12377,0.5043112,-1
2021-12-20,1,1.12769,0.5043506,-1
2021-12-21,1,1.12809,0.50432414,-1
2021-12-22,-1,1.13281,0.50439477,-1
2021-12-23,-1,1.13278,0.504401,-1
2021-12-24,1,1.1317,0.504457,-1
2021-12-27,-1,1.13263,0.5043764,-1
2021-12-28,1,1.13087,0.5041624,-1
2021-12-29,-1,1.13476,0.5042107,-1
2021-12-30,1,1.13246,0.5041304,-1
2021-12-31,-1,1.13779,0.5042063,-1
2022-01-03,-1,1.12977,0.50416017,-1
2022-01-04,1,1.1286,0.5041754,-1
2022-01-05,-1,1.13129,0.5041503,-1
2022-01-06,1,1.12985,0.50426775,-1
