,time,Actual Movement,Predictions,Predicted,close,close_price_next
370,2021-01-25,-1,0.5007283,1,1.16071,1.1579
371,2021-01-26,1,0.500793,1,1.1579,1.16112
372,2021-01-27,-1,0.50056505,1,1.16112,1.1554
373,2021-01-28,1,0.5006406,1,1.1554,1.15669
374,2021-01-29,1,0.5005552,1,1.15669,1.1587
375,2021-02-01,1,0.50033075,1,1.1587,1.15944
376,2021-02-02,-1,0.50021756,1,1.15944,1.14768
377,2021-02-03,-1,0.5001159,1,1.14768,1.14488
378,2021-02-04,-1,0.4999476,1,1.14488,1.14432
379,2021-02-05,-1,0.50025606,1,1.14432,1.13687
380,2021-02-08,-1,0.50047845,1,1.13687,1.13184
381,2021-02-09,1,0.50089914,1,1.13184,1.13226
382,2021-02-10,1,0.5012133,1,1.13226,1.1373
383,2021-02-11,-1,0.50156426,1,1.1373,1.12832
384,2021-02-12,-1,0.50175005,1,1.12832,1.12364
385,2021-02-15,1,0.5017954,1,1.12364,1.12492
386,2021-02-16,-1,0.501569,1,1.12492,1.1199
387,2021-02-17,1,0.501284,1,1.1199,1.12067
388,2021-02-18,1,0.50137347,1,1.12067,1.13227
389,2021-02-19,-1,0.50156504,1,1.13227,1.12925
390,2021-02-22,1,0.50200576,1,1.12925,1.13397
391,2021-02-23,-1,0.5022116,1,1.13397,1.13192
392,2021-02-24,-1,0.50237936,1,1.13192,1.13
393,2021-02-25,1,0.50210935,1,1.13,1.1309
394,2021-02-26,-1,0.501364,1,1.1309,1.12842
395,2021-03-01,-1,0.5009255,1,1.12842,1.12688
396,2021-03-02,1,0.50074446,1,1.12688,1.13442
397,2021-03-03,-1,0.50051004,1,1.13442,1.12925
398,2021-03-04,1,0.5003878,1,1.12925,1.13169
399,2021-03-05,-1,0.50017095,1,1.13169,1.12865
400,2021-03-08,-1,0.5001041,1,1.12865,1.12564
401,2021-03-09,1,0.5002371,1,1.12564,1.12936
402,2021-03-10,1,0.50037575,1,1.12936,1.13317
403,2021-03-11,-1,0.5006686,1,1.13317,1.12377
404,2021-03-12,1,0.5007961,1,1.12377,1.12769
405,2021-03-15,1,0.5006999,1,1.12769,1.12809
406,2021-03-16,1,0.50068843,1,1.12809,1.13281
407,2021-03-17,-1,0.50085604,1,1.13281,1.13278
408,2021-03-18,-1,0.50090206,1,1.13278,1.1317
409,2021-03-19,1,0.5009697,1,1.1317,1.13263
410,2021-03-22,-1,0.500973,1,1.13263,1.13087
411,2021-03-23,1,0.50074285,1,1.13087,1.13476
412,2021-03-24,-1,0.50050175,1,1.13476,1.13246
413,2021-03-25,1,0.5003829,1,1.13246,1.13779
414,2021-03-26,-1,0.50039953,1,1.13779,1.12977
415,2021-03-29,-1,0.50044185,1,1.12977,1.1286
416,2021-03-30,1,0.5003167,1,1.1286,1.13129
417,2021-03-31,-1,0.5003536,1,1.13129,1.12985
418,2021-04-01,1,0.5006463,1,1.12985,1.13594
419,2021-04-02,-1,0.50082606,1,1.13594,1.13295
420,2021-04-05,1,0.5013413,1,1.13295,1.1369
421,2021-04-06,1,0.5017171,1,1.1369,1.14402
422,2021-04-07,1,0.5021758,1,1.14402,1.14547
423,2021-04-08,-1,0.5027264,1,1.14547,1.14157
424,2021-04-09,-1,0.5030504,1,1.14157,1.14051
425,2021-04-12,-1,0.5033241,1,1.14051,1.13276
426,2021-04-13,1,0.5035529,1,1.13276,1.13436
427,2021-04-14,-1,0.50356704,1,1.13436,1.131
428,2021-04-15,1,0.5034966,1,1.131,1.13422
429,2021-04-16,-1,0.503475,1,1.13422,1.13253
430,2021-04-19,-1,0.5035419,1,1.13253,1.13027
431,2021-04-20,-1,0.50345665,1,1.13027,1.12421
432,2021-04-21,-1,0.5033421,1,1.12421,1.11438
433,2021-04-22,1,0.5030439,1,1.11438,1.11474
434,2021-04-23,1,0.50312054,1,1.11474,1.12334
435,2021-04-26,1,0.5031077,1,1.12334,1.12729
436,2021-04-27,1,0.5032483,1,1.12729,1.13053
437,2021-04-28,1,0.5033035,1,1.13053,1.14392
438,2021-04-29,1,0.50316185,1,1.14392,1.14517
439,2021-04-30,-1,0.50259864,1,1.14517,1.14393
440,2021-05-03,-1,0.502392,1,1.14393,1.14172
441,2021-05-04,1,0.50196177,1,1.14172,1.14233
442,2021-05-05,1,0.50177866,1,1.14233,1.14289
443,2021-05-06,-1,0.50196916,1,1.14289,1.13476
444,2021-05-07,-1,0.50232565,1,1.13476,1.13077
445,2021-05-10,1,0.5024143,1,1.13077,1.13596
446,2021-05-11,1,0.50248307,1,1.13596,1.13738
447,2021-05-12,-1,0.50216496,1,1.13738,1.13617
448,2021-05-13,-1,0.50210315,1,1.13617,1.13229
449,2021-05-14,-1,0.5022099,1,1.13229,1.13111
450,2021-05-17,1,0.50239056,1,1.13111,1.13256
451,2021-05-18,-1,0.5026828,1,1.13256,1.1303
452,2021-05-19,-1,0.50261104,1,1.1303,1.11931
453,2021-05-20,1,0.50267667,1,1.11931,1.1272
454,2021-05-21,-1,0.5023526,1,1.1272,1.12197
455,2021-05-24,-1,0.502507,1,1.12197,1.11237
456,2021-05-25,1,0.50247747,1,1.11237,1.11244
457,2021-05-26,-1,0.5022017,1,1.11244,1.10662
458,2021-05-27,-1,0.50200653,1,1.10662,1.09308
459,2021-05-28,-1,0.5018256,1,1.09308,1.08523
460,2021-05-31,1,0.5018359,1,1.08523,1.09025
461,2021-06-01,1,0.5017015,1,1.09025,1.1073
462,2021-06-02,-1,0.501634,1,1.1073,1.09879
463,2021-06-03,-1,0.50132114,1,1.09879,1.09141
464,2021-06-04,1,0.5011956,1,1.09141,1.09394
465,2021-06-07,1,0.5010907,1,1.09394,1.09463
466,2021-06-08,1,0.5011233,1,1.09463,1.10361
467,2021-06-09,1,0.5011631,1,1.10361,1.10909
468,2021-06-10,-1,0.50116533,1,1.10909,1.10493
469,2021-06-11,-1,0.5009307,1,1.10493,1.10163
470,2021-06-14,1,0.50077564,1,1.10163,1.10302
471,2021-06-15,-1,0.50059015,1,1.10302,1.10088
472,2021-06-16,-1,0.5002969,1,1.10088,1.09977
473,2021-06-17,-1,0.5001247,1,1.09977,1.09852
474,2021-06-18,1,0.5000597,1,1.09852,1.09857
475,2021-06-21,1,0.5002562,1,1.09857,1.10874
476,2021-06-22,1,0.50039345,1,1.10874,1.11596
477,2021-06-23,-1,0.50061095,1,1.11596,1.10669
478,2021-06-24,-1,0.50080085,1,1.10669,1.10453
479,2021-06-25,-1,0.5007616,1,1.10453,1.09731
480,2021-06-28,-1,0.50064164,1,1.09731,1.09053
481,2021-06-29,-1,0.50040287,1,1.09053,1.08976
482,2021-06-30,-1,0.5001578,1,1.08976,1.08818
483,2021-07-01,-1,0.5000452,1,1.08818,1.0875
484,2021-07-02,1,0.5001243,1,1.0875,1.08836
485,2021-07-05,-1,0.5001692,1,1.08836,1.08272
486,2021-07-06,1,0.50015646,1,1.08272,1.08915
487,2021-07-07,-1,0.50015336,1,1.08915,1.0831
488,2021-07-08,-1,0.5006576,1,1.0831,1.08086
489,2021-07-09,-1,0.5008991,1,1.08086,1.07811
490,2021-07-12,1,0.50103116,1,1.07811,1.07905
491,2021-07-13,1,0.50085604,1,1.07905,1.08519
492,2021-07-14,-1,0.5009182,1,1.08519,1.08352
493,2021-07-15,-1,0.5009076,1,1.08352,1.08012
494,2021-07-16,-1,0.50092036,1,1.08012,1.07111
495,2021-07-19,-1,0.5008682,1,1.07111,1.06373
496,2021-07-20,-1,0.5007272,1,1.06373,1.05606
497,2021-07-21,-1,0.50072426,1,1.05606,1.04992
498,2021-07-22,1,0.5006138,1,1.04992,1.05464
499,2021-07-23,-1,0.5006777,1,1.05464,1.05077
500,2021-07-26,1,0.5011409,1,1.05077,1.05223
501,2021-07-27,1,0.5015702,1,1.05223,1.06218
502,2021-07-28,-1,0.50218934,1,1.06218,1.05411
503,2021-07-29,1,0.50284904,1,1.05411,1.0544
504,2021-07-30,1,0.503042,1,1.0544,1.05603
505,2021-08-02,-1,0.5031065,1,1.05603,1.05286
506,2021-08-03,-1,0.50291014,1,1.05286,1.05129
507,2021-08-04,-1,0.502473,1,1.05129,1.03817
508,2021-08-05,1,0.5020392,1,1.03817,1.04081
509,2021-08-06,1,0.5012745,1,1.04081,1.04347
510,2021-08-09,1,0.50091356,1,1.04347,1.05505
511,2021-08-10,-1,0.5007727,1,1.05505,1.04645
512,2021-08-11,1,0.50107586,1,1.04645,1.0584
513,2021-08-12,-1,0.5011736,1,1.0584,1.0559
514,2021-08-13,1,0.5017085,1,1.0559,1.06918
515,2021-08-16,1,0.50170267,1,1.06918,1.07359
516,2021-08-17,-1,0.5016406,1,1.07359,1.06802
517,2021-08-18,1,0.501516,1,1.06802,1.07287
518,2021-08-19,1,0.50132173,1,1.07287,1.07312
519,2021-08-20,1,0.501546,1,1.07312,1.07799
520,2021-08-23,-1,0.50190985,1,1.07799,1.0734
521,2021-08-24,-1,0.5023337,1,1.0734,1.06527
522,2021-08-25,1,0.50264335,1,1.06527,1.07498
523,2021-08-26,-1,0.5028769,1,1.07498,1.07169
524,2021-08-27,-1,0.5034659,1,1.07169,1.0693
525,2021-08-30,1,0.5038006,1,1.0693,1.07063
526,2021-08-31,1,0.5040653,1,1.07063,1.07166
527,2021-09-01,-1,0.50422055,1,1.07166,1.06192
528,2021-09-02,-1,0.50433874,1,1.06192,1.05211
529,2021-09-03,-1,0.5041998,1,1.05211,1.04089
530,2021-09-06,1,0.5038684,1,1.04089,1.04173
531,2021-09-07,1,0.5032775,1,1.04173,1.04449
532,2021-09-08,1,0.5028704,1,1.04449,1.05524
533,2021-09-09,-1,0.50264066,1,1.05524,1.04967
534,2021-09-10,1,0.50246733,1,1.04967,1.05103
535,2021-09-13,1,0.50227875,1,1.05103,1.05353
536,2021-09-14,1,0.50213486,1,1.05353,1.05679
537,2021-09-15,-1,0.50209033,1,1.05679,1.05217
538,2021-09-16,1,0.5016463,1,1.05217,1.05539
539,2021-09-17,1,0.5012617,1,1.05539,1.05831
540,2021-09-20,-1,0.50112593,1,1.05831,1.05213
541,2021-09-21,-1,0.501114,1,1.05213,1.04417
542,2021-09-22,1,0.5010555,1,1.04417,1.04833
543,2021-09-23,-1,0.50129014,1,1.04833,1.04266
544,2021-09-24,-1,0.5013067,1,1.04266,1.04221
545,2021-09-27,-1,0.50116915,1,1.04221,1.02656
546,2021-09-28,-1,0.50108504,1,1.02656,1.01838
547,2021-09-29,-1,0.5007438,1,1.01838,1.01627
548,2021-09-30,1,0.5006406,1,1.01627,1.01835
549,2021-10-01,-1,0.50080776,1,1.01835,1.00415
550,2021-10-04,-1,0.5010982,1,1.00415,1.00366
551,2021-10-05,1,0.50105375,1,1.00366,1.00575
552,2021-10-06,-1,0.5010377,1,1.00575,1.00217
