,time,action,position,entry_price,close_price,profit,balance,worst_daily_pnl,best_daily_pnl
184,2024-03-05 01:00:00,hold,short,,,,9049.982599999965,-3.2001999999996475,3.899800000000148
185,2024-03-05 02:00:00,hold,short,,,,9049.982599999965,-6.5003999999983515,9.099600000000818
186,2024-03-05 03:00:00,hold,short,,,,9049.982599999965,-9.500599999998466,17.399400000002082
187,2024-03-05 04:00:00,hold,short,,,,9049.982599999965,-15.500799999997273,30.099200000003037
188,2024-03-05 05:00:00,hold,short,,,,9049.982599999965,-13.900999999996738,39.79900000000388
189,2024-03-05 06:00:00,hold,short,,,,9049.982599999965,-11.40119999999617,47.09880000000463
190,2024-03-05 07:00:00,hold,short,,,,9049.982599999965,-7.501399999996021,71.1986000000046
191,2024-03-05 08:00:00,close,neutral,,,100.0,9149.982399999964,11.398400000004695,115.4984000000058
192,2024-03-05 10:00:00,open,short,97.49,,,9149.982199999964,11.398400000004695,115.4984000000058
193,2024-03-05 11:00:00,close,neutral,,,100.0,9249.981999999964,0.49820000000380915,117.29820000000586
194,2024-03-05 17:00:00,open,long,97.796,,,9249.981799999963,0.49820000000380915,117.29820000000586
195,2024-03-05 18:00:00,close,neutral,,,100.0,9349.981599999963,-15.701999999996804,119.19800000000498
196,2024-03-06 14:00:00,open,long,97.561,,,9349.981399999962,0.0,0.0
197,2024-03-06 15:00:00,hold,long,,,,9349.981399999962,-0.8002000000009777,18.199799999998795
198,2024-03-06 16:00:00,hold,long,,,,9349.981399999962,10.699599999998512,51.79959999999865
199,2024-03-06 17:00:00,close,neutral,,,100.0,9449.981199999962,37.19939999999715,105.59939999999833
200,2024-03-07 15:00:00,open,long,97.66,,,9449.980999999962,0.0,0.0
201,2024-03-07 16:00:00,hold,long,,,,9449.980999999962,-2.200199999999136,29.099799999999682
202,2024-03-07 17:00:00,hold,long,,,,9449.980999999962,19.099600000001672,65.59960000000059
203,2024-03-07 18:00:00,close,neutral,,,100.0,9549.980799999961,46.59940000000224,103.19940000000108
204,2024-03-12 11:00:00,open,long,97.458,,,9549.98059999996,0.0,0.0
205,2024-03-12 12:00:00,hold,long,,,,9549.98059999996,-3.9002000000001478,8.099800000000307
206,2024-03-12 13:00:00,hold,long,,,,9549.98059999996,-3.2003999999996475,19.899599999999808
207,2024-03-12 14:00:00,hold,long,,,,9549.98059999996,-2.5005999999991473,28.89940000000015
208,2024-03-12 15:00:00,hold,long,,,,9549.98059999996,-5.700799999998795,52.59919999999963
209,2024-03-12 16:00:00,hold,long,,,,9549.98059999996,-15.000999999999147,74.999
210,2024-03-12 17:00:00,hold,long,,,,9549.98059999996,-17.30119999999876,86.29879999999994
211,2024-03-12 18:00:00,hold,long,,,,9549.98059999996,-18.40139999999833,97.09860000000035
212,2024-03-12 19:00:00,close,neutral,,,100.0,9649.98039999996,-24.001599999998067,100.69840000000048
213,2024-03-13 20:00:00,open,short,97.892,,,9649.98019999996,0.0,0.0
214,2024-03-13 21:00:00,hold,short,,,,9649.98019999996,-6.6002000000002505,3.09979999999917
215,2024-03-13 22:00:00,hold,short,,,,9649.98019999996,-10.100400000001331,8.699599999998908
216,2024-03-13 23:00:00,hold,short,,,,9649.98019999996,-10.900600000002308,15.799399999998702
217,2024-03-14 00:00:00,hold,short,,,,9649.98019999996,6.9997999999993175,17.39979999999924
218,2024-03-14 01:00:00,hold,short,,,,9649.98019999996,14.19959999999959,33.59959999999843
219,2024-03-14 02:00:00,hold,short,,,,9649.98019999996,16.499399999999202,49.29939999999808
220,2024-03-14 03:00:00,hold,short,,,,9649.98019999996,19.099199999998827,65.49919999999727
221,2024-03-14 04:00:00,hold,short,,,,9649.98019999996,16.998999999998748,78.99899999999636
222,2024-03-14 05:00:00,hold,short,,,,9649.98019999996,14.49879999999818,87.79879999999574
223,2024-03-14 06:00:00,close,neutral,,,100.0,9749.97999999996,20.09859999999792,104.39859999999541
224,2024-03-14 11:00:00,open,long,97.861,,,9749.97979999996,20.09859999999792,104.39859999999541
225,2024-03-14 12:00:00,close,neutral,,,100.0,9849.979599999959,18.99839999999693,111.99839999999475
226,2024-03-15 00:00:00,open,short,97.581,,,9849.979399999958,0.0,0.0
227,2024-03-15 01:00:00,hold,short,,,,9849.979399999958,-0.30020000000001135,6.899800000000261
228,2024-03-15 02:00:00,hold,short,,,,9849.979399999958,0.4996000000009664,15.199600000000103
229,2024-03-15 03:00:00,hold,short,,,,9849.979399999958,-2.6005999999982037,25.199400000000956
230,2024-03-15 04:00:00,hold,short,,,,9849.979399999958,1.999200000002444,38.499200000001935
231,2024-03-15 05:00:00,hold,short,,,,9849.979399999958,6.999000000002159,58.89900000000271
232,2024-03-15 06:00:00,hold,short,,,,9849.979399999958,22.498800000002273,85.19880000000323
233,2024-03-15 07:00:00,close,neutral,,,100.0,9949.979199999958,39.29860000000291,110.19860000000324
234,2024-03-15 10:00:00,open,long,97.431,,,9949.978999999958,39.29860000000291,110.19860000000324
235,2024-03-15 11:00:00,close,neutral,,,100.0,10049.978799999957,36.29840000000279,122.4984000000037
236,2024-03-19 03:00:00,open,short,97.737,,,10049.978599999957,0.0,0.0
237,2024-03-19 04:00:00,hold,short,,,,10049.978599999957,-6.900200000000262,9.69979999999942
238,2024-03-19 05:00:00,hold,short,,,,10049.978599999957,-24.400400000001397,8.599599999998432
239,2024-03-19 06:00:00,close,neutral,,,-50.0,9999.978399999956,-54.90060000000208,26.39939999999816
240,2024-03-19 06:00:00,open,long,97.919,,,9999.978199999956,-54.90060000000208,26.39939999999816
241,2024-03-19 07:00:00,close,neutral,,,-50.0,9949.977999999956,-62.90080000000191,38.49919999999909
242,2024-03-20 10:00:00,open,long,98.913,,,9949.977799999955,0.0,0.0
243,2024-03-20 11:00:00,hold,long,,,,9949.977799999955,-14.60020000000008,-0.0002
244,2024-03-20 12:00:00,hold,long,,,,9949.977799999955,-30.50039999999926,-6.000400000000228
245,2024-03-20 13:00:00,hold,long,,,,9949.977799999955,-43.100599999998316,-10.400599999999923
246,2024-03-20 14:00:00,close,neutral,,,-50.0,9899.977599999955,-52.800799999997736,-11.700799999999024
247,2024-03-20 21:00:00,open,long,99.161,,,9899.977399999954,-52.800799999997736,-11.700799999999024
248,2024-03-20 22:00:00,close,neutral,,,-50.0,9849.977199999954,-51.60099999999769,29.399000000001113
249,2024-03-21 03:00:00,open,long,99.596,,,9849.976999999953,0.0,0.0
250,2024-03-21 04:00:00,hold,long,,,,9849.976999999953,-8.600199999999852,9.39979999999941
251,2024-03-21 05:00:00,hold,long,,,,9849.976999999953,-18.900400000000715,11.599599999998546
252,2024-03-21 06:00:00,hold,long,,,,9849.976999999953,-22.60060000000133,24.899399999998103
253,2024-03-21 07:00:00,hold,long,,,,9849.976999999953,-18.200800000001635,51.599199999997694
254,2024-03-21 08:00:00,hold,long,,,,9849.976999999953,5.59899999999832,93.19899999999737
255,2024-03-21 09:00:00,close,neutral,,,100.0,9949.976799999953,46.4987999999975,145.59879999999745
256,2024-03-21 14:00:00,open,short,99.713,,,9949.976599999953,46.4987999999975,145.59879999999745
257,2024-03-21 15:00:00,close,neutral,,,100.0,10049.976399999952,34.49859999999705,147.89859999999706
258,2024-03-22 04:00:00,open,long,99.406,,,10049.976199999952,0.0,0.0
259,2024-03-22 05:00:00,hold,long,,,,10049.976199999952,-46.10020000000127,0.0997999999990564
260,2024-03-22 06:00:00,close,neutral,,,-50.0,9999.975999999951,-94.80040000000217,-31.000400000001648
261,2024-03-25 00:00:00,open,short,98.574,,,9999.975799999951,0.0,0.0
262,2024-03-25 01:00:00,hold,short,,,,9999.975799999951,-5.800200000000694,2.7997999999991587
263,2024-03-25 02:00:00,hold,short,,,,9999.975799999951,-9.10040000000082,12.899599999999069
264,2024-03-25 03:00:00,hold,short,,,,9999.975799999951,-17.000600000001594,15.699399999998228
265,2024-03-25 05:00:00,close,neutral,,,-50.0,9949.97559999995,-65.90100000000203,8.098999999997467
266,2024-03-28 03:00:00,open,short,98.777,,,9949.97539999995,0.0,0.0
267,2024-03-28 04:00:00,hold,short,,,,9949.97539999995,-7.000199999999318,3.7997999999996703
268,2024-03-28 05:00:00,hold,short,,,,9949.97539999995,-21.000399999999374,6.59960000000025
269,2024-03-28 06:00:00,hold,short,,,,9949.97539999995,-36.50059999999949,1.9994000000010228
270,2024-03-28 07:00:00,hold,short,,,,9949.97539999995,-44.80079999999933,-1.1007999999995683
271,2024-03-28 08:00:00,close,neutral,,,-50.0,9899.97519999995,-50.70099999999908,8.69900000000033
272,2024-03-28 14:00:00,open,short,98.188,,,9899.97499999995,-50.70099999999908,8.69900000000033
273,2024-03-28 15:00:00,close,neutral,,,-50.0,9849.974799999949,-68.40119999999833,10.898800000000888
274,2024-03-28 15:00:00,open,short,98.363,,,9849.974599999949,-68.40119999999833,10.898800000000888
275,2024-03-28 16:00:00,close,neutral,,,-50.0,9799.974399999948,-84.50139999999845,10.998600000001366
276,2024-03-29 00:00:00,open,short,98.603,,,9799.974199999948,0.0,0.0
277,2024-03-29 01:00:00,hold,short,,,,9799.974199999948,-7.500200000000285,1.7998000000000682
278,2024-03-29 02:00:00,hold,short,,,,9799.974199999948,-13.800400000000524,2.0996000000000796
279,2024-03-29 04:00:00,hold,short,,,,9799.974199999948,-27.900800000002477,23.99919999999807
280,2024-03-29 05:00:00,hold,short,,,,9799.974199999948,-29.10100000000252,30.998999999997388
281,2024-03-29 06:00:00,hold,short,,,,9799.974199999948,-27.70120000000294,43.19879999999738
282,2024-03-29 07:00:00,hold,short,,,,9799.974199999948,-21.101400000004112,56.098599999996445
