,time,open,high,low,close,tick_volume,spread,real_volume,rolling_max_high,rolling_min_low,higher_highs,lower_highs,higher_lows,lower_lows,count_higher_highs,count_higher_lows,count_lower_highs,count_lower_lows,uptrend,downtrend,consolidation,last_higher_low,last_lower_high,breakdown_retest_persistence,breakout_retest_persistence,potential_breakdown_retest,potential_breakout_retest,confirm_breakdown_retest,confirm_breakout_retest
741,2024-03-04 21:00:00,0.65173,0.6518,0.65131,0.65167,1672,9,0,0.6529,0.65122,False,True,True,False,1.0,4.0,4.0,1.0,False,False,True,0.65131,0.6518,True,True,False,False,False,False
742,2024-03-04 22:00:00,0.65165,0.65185,0.65147,0.65168,1590,10,0,0.65244,0.65122,False,True,True,False,0.0,4.0,5.0,1.0,False,True,False,0.65147,0.65185,True,False,False,False,False,False
743,2024-03-04 23:00:00,0.65168,0.65193,0.65157,0.65188,817,11,0,0.65215,0.65122,False,True,True,False,0.0,4.0,5.0,1.0,False,True,False,0.65157,0.65193,True,False,False,False,False,False
744,2024-03-05 00:00:00,0.65086,0.65181,0.65086,0.65137,1739,27,0,0.65193,0.65086,False,True,False,True,0.0,3.0,5.0,2.0,False,True,False,0.65157,0.65181,True,False,True,False,False,False
745,2024-03-05 01:00:00,0.65137,0.65216,0.65137,0.65198,751,10,0,0.65216,0.65086,True,False,True,False,1.0,4.0,4.0,1.0,False,False,True,0.65137,0.65181,True,True,False,True,False,False
746,2024-03-05 02:00:00,0.65198,0.65204,0.65184,0.65188,1230,10,0,0.65216,0.65086,False,True,True,False,1.0,4.0,4.0,1.0,False,False,True,0.65184,0.65204,True,True,False,False,False,False
747,2024-03-05 03:00:00,0.65188,0.65235,0.65186,0.65234,1676,9,0,0.65235,0.65086,True,False,True,False,2.0,4.0,3.0,1.0,True,False,False,0.65186,0.65204,True,True,False,True,False,False
748,2024-03-05 04:00:00,0.65235,0.65244,0.65166,0.65188,1441,9,0,0.65244,0.65086,True,False,True,False,3.0,4.0,2.0,1.0,True,False,False,0.65166,0.65204,True,True,False,True,False,True
749,2024-03-05 05:00:00,0.65188,0.65189,0.65165,0.65173,1070,9,0,0.65244,0.65137,False,True,True,False,3.0,5.0,2.0,0.0,True,False,False,0.65165,0.65189,False,True,False,False,False,False
750,2024-03-05 06:00:00,0.65174,0.65197,0.65171,0.65181,967,9,0,0.65244,0.65165,False,True,True,False,2.0,5.0,3.0,0.0,True,False,False,0.65171,0.65197,False,True,False,False,False,False
751,2024-03-05 07:00:00,0.65181,0.65194,0.65167,0.65181,1163,9,0,0.65244,0.65165,False,True,True,False,2.0,5.0,3.0,0.0,True,False,False,0.65167,0.65194,False,True,False,False,False,False
752,2024-03-05 08:00:00,0.65181,0.652,0.65135,0.65135,1727,9,0,0.65244,0.65135,False,True,False,True,1.0,4.0,4.0,1.0,False,False,True,0.65167,0.652,True,True,True,False,True,False
753,2024-03-05 09:00:00,0.65135,0.65193,0.65129,0.65142,2208,10,0,0.652,0.65129,False,True,False,True,0.0,3.0,5.0,2.0,False,True,False,0.65167,0.65193,True,False,True,False,False,False
754,2024-03-05 10:00:00,0.65139,0.65148,0.65074,0.65125,2590,9,0,0.652,0.65074,False,True,False,True,0.0,2.0,5.0,3.0,False,True,False,0.65167,0.65148,True,False,True,False,False,False
755,2024-03-05 11:00:00,0.65125,0.6519,0.65112,0.65181,2375,7,0,0.652,0.65074,False,True,True,False,0.0,2.0,5.0,3.0,False,True,False,0.65112,0.6519,True,False,False,False,False,False
756,2024-03-05 12:00:00,0.65181,0.6525,0.65172,0.65241,1915,9,0,0.6525,0.65074,True,False,True,False,1.0,2.0,4.0,3.0,False,True,False,0.65172,0.6519,True,True,False,True,False,False
