,current_price,time,action,position,entry_price,close_price,profit,balance,worst_daily_pnl,best_daily_pnl
1293,1.2698800000000001,2024-04-10 13:00:00,hold,short,,,,11599.96579999993,-44.45279999999921,-34.03279999999934
1294,1.26939,2024-04-10 14:00:00,hold,short,,,,11599.96579999993,-49.3329999999992,-38.08299999999923
1295,,2024-04-10 15:00:00,close,neutral,,,-50.0,11549.96559999993,-54.91319999999912,-32.40319999999932
1296,1.25271,2024-04-10 21:00:00,open,short,1.25271,,,11549.96539999993,-54.91319999999912,-32.40319999999932
1297,,2024-04-10 22:00:00,close,neutral,,,-50.0,11499.96519999993,-56.48339999999919,-32.27339999999936
1298,1.2535,2024-04-11 00:00:00,open,short,1.2535,,,11499.96499999993,0.0,0.0
1299,1.25381,2024-04-11 01:00:00,hold,short,,,,11499.96499999993,-0.4001999999999559,0.08979999999992347
1300,1.25363,2024-04-11 02:00:00,hold,short,,,,11499.96499999993,-0.9103999999999663,0.16960000000000347
1301,1.25369,2024-04-11 03:00:00,hold,short,,,,11499.96499999993,-1.5606000000000058,0.4894000000001015
1302,1.2543,2024-04-11 04:00:00,hold,short,,,,11499.96499999993,-2.510800000000012,0.41920000000008695
1303,1.25446,2024-04-11 05:00:00,hold,short,,,,11499.96499999993,-3.6410000000000875,-0.26099999999992696
1304,1.25451,2024-04-11 06:00:00,hold,short,,,,11499.96499999993,-5.091200000000039,-1.0811999999997477
1305,1.25471,2024-04-11 07:00:00,hold,short,,,,11499.96499999993,-6.351400000000078,-1.951399999999674
1306,1.25426,2024-04-11 08:00:00,hold,short,,,,11499.96499999993,-7.711599999999883,-2.711599999999546
1307,1.2534399999999999,2024-04-11 09:00:00,hold,short,,,,11499.96499999993,-8.48179999999982,-2.431799999999488
1308,1.25603,2024-04-11 10:00:00,hold,short,,,,11499.96499999993,-11.19199999999981,-2.331999999999499
1309,1.25501,2024-04-11 11:00:00,hold,short,,,,11499.96499999993,-14.642199999999763,-3.842199999999399
1310,1.25352,2024-04-11 12:00:00,hold,short,,,,11499.96499999993,-16.43239999999972,-3.58239999999925
1311,1.25397,2024-04-11 13:00:00,hold,short,,,,11499.96499999993,-17.012599999999747,-3.0725999999992397
1312,1.25385,2024-04-11 14:00:00,hold,short,,,,11499.96499999993,-17.662799999999788,-3.0527999999991087
1313,1.25667,2024-04-11 15:00:00,hold,short,,,,11499.96499999993,-21.382999999999733,-1.9129999999989677
1314,1.255,2024-04-11 16:00:00,hold,short,,,,11499.96499999993,-25.713199999999677,-3.2731999999987735
1315,1.2519,2024-04-11 17:00:00,hold,short,,,,11499.96499999993,-27.22339999999958,-1.0633999999987283
1316,1.2534100000000001,2024-04-11 18:00:00,hold,short,,,,11499.96499999993,-27.18359999999954,1.386400000001335
1317,1.25366,2024-04-11 19:00:00,hold,short,,,,11499.96499999993,-27.83379999999958,1.986200000001491
1318,1.25536,2024-04-11 20:00:00,hold,short,,,,11499.96499999993,-29.85399999999949,2.1960000000015345
1319,1.25525,2024-04-11 21:00:00,hold,short,,,,11499.96499999993,-32.70419999999951,0.5858000000016452
1320,1.25594,2024-04-11 22:00:00,hold,short,,,,11499.96499999993,-35.35439999999933,-1.1543999999984296
1321,1.25531,2024-04-11 23:00:00,hold,short,,,,11499.96499999993,-37.80459999999917,-2.8145999999984244
1322,1.25539,2024-04-12 00:00:00,hold,short,,,,11499.96499999993,-2.0501999999998852,-1.5701999999998493
1323,1.25549,2024-04-12 01:00:00,hold,short,,,,11499.96499999993,-4.2203999999998905,-3.3003999999998586
1324,1.25546,2024-04-12 02:00:00,hold,short,,,,11499.96499999993,-6.250599999999867,-5.060599999999843
1325,1.25549,2024-04-12 03:00:00,hold,short,,,,11499.96499999993,-8.330799999999726,-6.480799999999819
1326,1.25569,2024-04-12 04:00:00,hold,short,,,,11499.96499999993,-10.70099999999971,-8.230999999999737
1327,1.25568,2024-04-12 05:00:00,hold,short,,,,11499.96499999993,-12.961199999999637,-10.13119999999975
1328,1.25446,2024-04-12 06:00:00,hold,short,,,,11499.96499999993,-15.171399999999682,-10.981399999999766
1329,1.25372,2024-04-12 07:00:00,hold,short,,,,11499.96499999993,-16.231599999999744,-11.131599999999638
1330,1.25386,2024-04-12 08:00:00,hold,short,,,,11499.96499999993,-17.141799999999712,-11.34179999999946
1331,1.2515800000000001,2024-04-12 09:00:00,hold,short,,,,11499.96499999993,-17.75199999999971,-9.041999999999268
1332,1.25192,2024-04-12 10:00:00,hold,short,,,,11499.96499999993,-16.312199999999603,-6.062199999999285
1333,1.25077,2024-04-12 11:00:00,hold,short,,,,11499.96499999993,-15.032399999999432,-3.2723999999992146
1334,1.24976,2024-04-12 12:00:00,hold,short,,,,11499.96499999993,-12.682599999999358,1.377400000000828
1335,1.24696,2024-04-12 13:00:00,hold,short,,,,11499.96499999993,-8.972799999999255,8.057200000000847
1336,1.24708,2024-04-12 14:00:00,hold,short,,,,11499.96499999993,-3.232999999999177,15.317000000000892
1337,1.2454,2024-04-12 15:00:00,hold,short,,,,11499.96499999993,2.756800000000762,23.736800000000986
1338,1.24529,2024-04-12 16:00:00,hold,short,,,,11499.96499999993,9.666600000000734,32.516600000001
1339,1.24347,2024-04-12 17:00:00,hold,short,,,,11499.96499999993,17.666400000000742,43.37640000000109
1340,1.24557,2024-04-12 18:00:00,hold,short,,,,11499.96499999993,25.316200000000897,53.58620000000114
1341,1.24488,2024-04-12 19:00:00,hold,short,,,,11499.96499999993,33.20600000000085,62.69600000000109
1342,1.24557,2024-04-12 20:00:00,hold,short,,,,11499.96499999993,40.76580000000086,71.58580000000116
1343,1.24417,2024-04-15 00:00:00,hold,short,,,,11499.96499999993,8.719800000000062,10.249800000000093
1344,1.2459500000000001,2024-04-15 01:00:00,hold,short,,,,11499.96499999993,15.919600000000155,19.599600000000063
1345,1.24592,2024-04-15 02:00:00,hold,short,,,,11499.96499999993,23.23940000000015,27.899400000000036
1346,1.2452,2024-04-15 03:00:00,hold,short,,,,11499.96499999993,30.629200000000157,36.399199999999986
1347,1.24576,2024-04-15 04:00:00,hold,short,,,,11499.96499999993,38.28900000000016,45.85900000000001
1348,1.24599,2024-04-15 05:00:00,hold,short,,,,11499.96499999993,45.338800000000155,53.708800000000146
1349,1.24603,2024-04-15 06:00:00,hold,short,,,,11499.96499999993,52.448600000000326,61.66860000000011
1350,1.24602,2024-04-15 07:00:00,hold,short,,,,11499.96499999993,59.79840000000029,69.71840000000023
1351,1.2466,2024-04-15 08:00:00,hold,short,,,,11499.96499999993,66.4582000000004,77.4582000000003
1352,1.24722,2024-04-15 09:00:00,hold,short,,,,11499.96499999993,72.23800000000053,84.91800000000032
1353,1.2475100000000001,2024-04-15 10:00:00,hold,short,,,,11499.96499999993,78.21780000000062,92.29780000000048
1354,1.24815,2024-04-15 11:00:00,hold,short,,,,11499.96499999993,83.00760000000069,98.29760000000049
1355,,2024-04-15 12:00:00,close,neutral,,,100.0,11599.964799999929,87.20740000000067,103.69740000000056
1356,1.2485,2024-04-15 12:00:00,open,short,1.2485,,,11599.964599999928,87.20740000000067,103.69740000000056
1357,,2024-04-15 13:00:00,close,neutral,,,100.0,11699.964399999928,86.10720000000057,103.99720000000052
1358,1.24919,2024-04-15 13:00:00,open,short,1.24919,,,11699.964199999928,86.10720000000057,103.99720000000052
1359,,2024-04-15 14:00:00,close,neutral,,,100.0,11799.963999999927,85.4670000000006,105.73700000000059
1360,1.24777,2024-04-15 14:00:00,open,short,1.24777,,,11799.963799999927,85.4670000000006,105.73700000000059
1361,,2024-04-15 15:00:00,close,neutral,,,100.0,11899.963599999926,85.15680000000056,108.42680000000067
1362,1.2479,2024-04-15 15:00:00,open,short,1.2479,,,11899.963399999926,85.15680000000056,108.42680000000067
1363,,2024-04-15 16:00:00,close,neutral,,,100.0,11999.963199999926,83.46660000000058,109.68660000000071
1364,1.24695,2024-04-15 16:00:00,open,short,1.24695,,,11999.962999999925,83.46660000000058,109.68660000000071
1365,,2024-04-15 17:00:00,close,neutral,,,100.0,12099.962799999925,83.34640000000068,112.18640000000066
1366,1.24461,2024-04-15 20:00:00,open,short,1.24461,,,12099.962599999924,83.34640000000068,112.18640000000066
1367,,2024-04-15 21:00:00,close,neutral,,,100.0,12199.962399999924,83.17620000000068,112.79620000000065
1368,1.24478,2024-04-15 22:00:00,open,short,1.24478,,,12199.962199999924,83.17620000000068,112.79620000000065
1369,,2024-04-15 23:00:00,close,neutral,,,100.0,12299.961999999923,83.07600000000069,113.30600000000067
1370,1.24478,2024-04-16 01:00:00,open,short,1.24478,,,12299.961799999923,0.0,0.0
