time,open,high,low,close,tick_volume,spread,real_volume,SMA_50,SMA_200,EMA_50,EMA_200,EMA_9,EMA_21,SMA_20,Upper Band,Lower Band,Lower Band Scalping,Middle Band Scalping,Upper Band Scalping,MACD,Signal_Line,RSI_9,RSI_5 Scalping,Stoch_%K,Stoch_%D,close_price_previous,close_price_percentage_change,close_price_previous_percentage_change,Actual Movement
2011-01-05,5.85786,5.9297,5.8541,5.90339,59198,40,62322500000,5.9530196,6.0939921,5.951546751019579,6.021458067092157,5.8908780964208765,5.9275300818396275,5.935129,6.05145522436942,5.81880277563058,5.8255822954865275,5.914806666666666,6.004031037846805,-0.032152970552985494,-0.021154231543947577,47.19,54.33,29.436164120660596,17.468842974463136,5.85794,0.7758700157393106,0.5232134123845045,1
2011-01-06,5.90227,5.9706,5.88812,5.95963,53546,40,59422000000,5.9540832,6.09386805,5.951863741175675,6.020842862444474,5.904628477136701,5.930448256217843,5.9317405,6.040841989719641,5.822639010280359,5.826536614504929,5.91282,5.999103385495071,-0.025235936966347516,-0.021970572628427568,56.25,67.12,49.89398090108497,30.964399106927235,5.90339,0.952672955708489,0.7758700157393106,1
2011-01-07,5.95673,6.00113,5.93661,5.96394,59309,40,63283000000,5.9555182,6.0939919499999995,5.9523373199531,6.020276664808211,5.916490781709361,5.9334929601980395,5.9299225,6.0355501247723335,5.824294875227666,5.827870804341338,5.910891666666665,5.993912528991992,-0.01918520196865181,-0.021413498496472415,56.88,67.98,66.29985606166132,48.54333369446897,5.95963,0.07231992590144287,0.952672955708489,1
2011-01-10,5.9892199999999995,5.99807,5.94654,5.96635,75881,0,36015000000,5.957963199999999,6.094260300000001,5.952886836817684,6.019740081078776,5.926462625367489,5.936479963816399,5.93213,6.038859415064661,5.8254005849353385,5.828104240908503,5.910489166666667,5.992874092424832,-0.01403371213320792,-0.019937541223819518,57.28,68.55,76.04432681741504,64.07938792672046,5.96394,0.04040952792951913,0.07231992590144287,1
2011-01-11,5.96597,5.9938,5.92243,5.9493,58477,40,69940000000,5.959747200000001,6.094331450000001,5.952746176550324,6.0190391847496345,5.931030100293992,5.937645421651272,5.9348909999999995,6.040390179314555,5.829391820685444,5.828114620362882,5.910364166666667,5.992613712970451,-0.011197830215031956,-0.018189599022062006,53.42,59.17,75.3863125676795,72.5768318155853,5.96635,-0.2857693564742303,0.04040952792951913,-1
2011-01-12,5.94908,5.9565,5.87681,5.9015,62858,40,72964000000,5.9610016,6.094163099999999,5.950736522567959,6.017869640622773,5.925124080235193,5.934359474228429,5.9316295000000006,6.0370229281587084,5.826236071841293,5.825957832894743,5.907046666666667,5.988135500438591,-0.01266148021970892,-0.01708397526159139,44.05,39.99,66.80030015161596,72.74364651223685,5.9493,-0.8034558687576632,-0.2857693564742303,-1
2011-01-13,5.90454,5.9233,5.8425,5.87313,59873,40,66420000000,5.9625482,6.093734749999999,5.947693129526078,6.016429445193691,5.914725264188155,5.928793158389481,5.9277845,6.035790801756169,5.81977819824383,5.82153099496977,5.899638333333333,5.977745671696896,-0.015927058084116652,-0.01685259182609644,39.43,32.23,53.15047935595305,65.11236402508285,5.9015,-0.48072523934593603,-0.8034558687576632,-1
2011-01-14,5.87118,5.90244,5.8304,5.8374,59072,40,69459000000,5.964682,6.09303855,5.94336790876035,6.014648057679326,5.899260211350525,5.920484689444983,5.9205945,6.032495372467756,5.808693627532244,5.811510164255836,5.893445833333334,5.975381502410832,-0.021154310734759818,-0.017712935607829116,34.33,24.7,35.29100529100533,51.74726159952479,5.87313,-0.6083638536862002,-0.48072523934593603,-1
2011-01-17,5.8419,5.88187,5.8291,5.86241,43762,40,49985500000,5.966876199999999,6.09260265,5.940193088808964,6.013133251135254,5.891890169080419,5.915205172222712,5.914567,6.025362660222074,5.803771339777926,5.809169869338934,5.89197,5.974770130661065,-0.023013562119341024,-0.0187730609101315,40.4,37.49,28.827711640211557,39.08973209572333,5.8374,0.42844417034981763,-0.6083638536862002,1
2011-01-18,5.86061,5.87327,5.79973,5.82915,61518,40,66595500000,5.967156999999999,6.09225445,5.9358384578752785,6.01130257201948,5.879342135264336,5.90738197474792,5.906851,6.018865373167221,5.794836626832779,5.816589786572129,5.894299166666666,5.972008546761204,-0.0268611971115984,-0.020390688150424878,35.5,29.23,21.55588624338625,28.55820105820106,5.86241,-0.5673434645478426,0.42844417034981763,-1
2011-01-19,5.83057,5.83619,5.7823,5.8266,64206,40,70640000000,5.9665554,6.0919556,5.931554596782131,6.0094647354819735,5.868793708211469,5.9000381588617445,5.898827,6.009689020566313,5.787964979433687,5.816381174706703,5.894228333333333,5.972075491959964,-0.02977303424671085,-0.022267157369682072,35.13,28.63,22.0423205167356,24.141972800111148,5.82915,-0.04374565760016935,-0.5673434645478426,-1
2011-01-20,5.8294,5.89531,5.81001,5.8749,68843,40,77878000000,5.9667562,6.091995949999999,5.929332847888714,6.008125782890113,5.870014966569176,5.897752871692495,5.894013,6.000150637829592,5.787875362170408,5.818968172509691,5.895641666666667,5.972315160823643,-0.02786210283693613,-0.023386146463132883,46.87,52.08,25.750812794208418,23.11633985144344,5.8266,0.8289568530532421,-0.04374565760016935,1
2011-01-21,5.87489,5.88551,5.7993,5.8145,63828,40,69971000000,5.964441000000001,6.0918581000000005,5.924829598951902,6.00619915818474,5.85891197325534,5.890184428811359,5.887198,5.995359601430664,5.779036398569335,5.804696137349613,5.888234166666667,5.97177219598372,-0.030865651130281613,-0.024882047396562627,37.36,34.41,25.75819890630468,24.517110739082913,5.8749,-1.0281026060018128,0.8289568530532421,-1
2011-01-24,5.81536,5.83801,5.7623999999999995,5.78394,57566,40,63248000000,5.9610598,6.09154625,5.9193045166400635,6.003987624272454,5.843917578604273,5.880525844373963,5.8793295,5.99333871041322,5.7653202895867794,5.786529916073336,5.873593333333333,5.96065675059333,-0.03530494792842642,-0.026966627502935388,33.49,28.33,22.01777234583736,24.508928015450167,5.8145,-0.5255825952360405,-1.0281026060018128,-1
2011-01-25,5.78225,5.8054,5.7451,5.7625,66397,40,74517000000,5.9566539999999994,6.09089115,5.91315531990908,6.0015847623393945,5.827634062883418,5.869796222158149,5.869353,5.987513609866598,5.7511923901334026,5.768888478417665,5.856806666666667,5.94472485491567,-0.040091007266820355,-0.029591503455712383,30.96,24.53,10.177814199719505,19.317928483953864,5.78394,-0.3706815769181637,-0.5255825952360405,-1
2011-01-26,5.7575199999999995,5.7839,5.72816,5.76664,62861,40,69471000000,5.9506872,6.090194,5.9074096210891165,5.999247003510146,5.815435250306735,5.860418383780135,5.8620995,5.9866091207489465,5.737589879251054,5.760283958747725,5.840164166666667,5.920044374585609,-0.043053634870783064,-0.03228392973872652,32.07,26.89,9.971870379380318,14.055818974979076,5.7625,0.07184381778742033,-0.3706815769181637,1
2011-01-27,5.76858,5.8063,5.7476,5.80067,63353,40,70121000000,5.9461602000000005,6.0896839,5.903223753595427,5.997271112927956,5.812482200245388,5.854986712527395,5.858127,5.985128148199716,5.731125851800283,5.7637869667770945,5.827778333333334,5.891769699889573,-0.04216949826567351,-0.03426104344411592,40.9,44.71,15.919125389875267,12.022936656325044,5.76664,0.5901183358073325,0.07184381778742033,1
